Indicator,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured
Month,Ascending total,January,February,March,April,May,June,July,August,September,October,November,December,Ascending total,January,February,March,April,May,June,July,August,September,October,November,December,Ascending total,January,February,March,April,May,June,July,August,September,October,November,December,Ascending total,January,February,March,April,May,June,July,August,September,October,November,December,Ascending total,January,February,March,April,May,June,July,August,September,October,November,December,Ascending total,January,February,March,April,May,June,July,August,September,October,November,December
1990,2099,122,119,120,174,198,209,160,200,182,214,202,199,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,436,29,21,26,30,33,38,33,47,48,42,48,41,2379,146,146,127,217,229,235,187,209,200,244,224,215
1991,1965,149,95,113,123,156,186,220,206,221,187,179,130,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,491,45,24,32,32,21,36,52,47,64,51,49,38,2175,163,106,125,117,181,226,260,250,246,191,173,137
1992,1167,84,66,72,65,98,115,116,109,125,141,73,103,..,..,..,..,..,..,..,..,..,..,..,..,..,234,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,287,28,18,11,12,20,27,23,28,42,30,18,30,1289,79,66,88,78,130,131,133,121,130,147,73,113
1993,1317,101,79,64,101,123,109,150,124,106,127,113,120,..,..,..,..,..,..,..,..,..,..,..,..,..,293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,321,24,15,11,22,24,38,52,27,21,37,25,25,1502,116,84,84,117,142,128,161,146,133,135,121,135
1994,1585,92,69,93,88,121,135,171,183,146,168,169,150,..,..,..,..,..,..,..,..,..,..,..,..,..,471,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,364,21,11,22,21,35,32,32,40,36,38,40,36,1832,99,77,96,106,131,164,215,225,178,177,180,184
1995,1644,106,96,116,129,131,157,168,160,153,180,106,142,..,..,..,..,..,..,..,..,..,..,..,..,..,475,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,332,25,21,26,28,30,29,25,30,29,32,25,32,1897,120,103,114,151,169,191,208,204,173,204,115,145
1996,1318,65,71,75,90,116,127,111,133,127,116,159,128,..,..,..,..,..,..,..,..,..,..,..,..,..,319,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,213,9,10,9,9,14,16,19,26,19,30,34,18,1547,77,90,76,104,128,151,118,200,161,136,156,150
1997,1490,81,74,99,100,123,138,170,191,144,143,123,104,..,..,..,..,..,..,..,..,..,..,..,..,..,385,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,279,10,19,11,14,25,26,30,36,25,30,32,21,1835,95,97,121,120,166,169,229,215,186,169,145,123
1998,1613,100,90,95,100,148,179,146,162,146,182,120,145,259,18,12,9,17,20,29,15,20,28,36,25,30,430,20,14,32,27,53,55,37,44,37,45,35,31,64,4,1,2,6,10,8,4,3,5,9,7,5,284,20,13,9,18,24,31,18,21,30,37,26,37,1990,114,121,113,126,200,225,192,215,168,212,126,178
